Message,Label
Please book my appointment with the orthopedic specialist.,Booking
Good morning.,Non-Booking
Hello.,Non-Booking
Book a consultation for tomorrow.,Booking
Where is your clinic located?,Non-Booking
Do you accept insurance?,Non-Booking
I have a question about your services.,Non-Booking
Can you schedule my checkup on Monday?,Booking
Do you accept insurance?,Non-Booking
Where is your clinic located?,Non-Booking
Where is your clinic located?,Non-Booking
I want to book an appointment for Friday.,Booking
Can you schedule my checkup on tomorrow?,Booking
Please reserve my appointment.,Booking
Good morning.,Non-Booking
Is there an appointment available on Thursday?,Booking
Good morning.,Non-Booking
Hello.,Non-Booking
Good morning.,Non-Booking
Is there an appointment available on this evening?,Booking
Where is your clinic located?,Non-Booking
Can you share your contact number?,Non-Booking
Need an appointment with the neurologist.,Booking
Is there an appointment available on tomorrow?,Booking
Need an appointment with the cardiologist.,Booking
Is there an appointment available on next week?,Booking
Book a consultation for tomorrow.,Booking
I'd like to reserve a slot for Wednesday.,Booking
Is there an appointment available on Friday?,Booking
What are your working hours?,Non-Booking
Can I schedule a visit on Friday?,Booking
Where is your clinic located?,Non-Booking
I would like to meet the pediatrician on Saturday.,Booking
Book a consultation for Tuesday.,Booking
What are your working hours?,Non-Booking
How much is the consultation fee?,Non-Booking
Good morning.,Non-Booking
Book a consultation for Friday.,Booking
Can you schedule my checkup on Monday?,Booking
I want to book an appointment for tomorrow.,Booking
I'd like to reserve a slot for Monday.,Booking
Can you schedule my checkup on Saturday?,Booking
Please book my appointment with the cardiologist.,Booking
How much is the consultation fee?,Non-Booking
I have a question about your services.,Non-Booking
Please reserve my appointment.,Booking
Where is your clinic located?,Non-Booking
I want to book an appointment for Monday.,Booking
Hello.,Non-Booking
Please reserve my appointment.,Booking
I'd like to reserve a slot for Thursday.,Booking
Thank you for your help.,Non-Booking
Good morning.,Non-Booking
I have a question about your services.,Non-Booking
What are your working hours?,Non-Booking
Can you schedule my checkup on this evening?,Booking
I'd like to reserve a slot for Tuesday.,Booking
Thank you for your help.,Non-Booking
What are your working hours?,Non-Booking
How much is the consultation fee?,Non-Booking
Where is your clinic located?,Non-Booking
Hello.,Non-Booking
I want to book an appointment for next Monday.,Booking
Can you share your contact number?,Non-Booking
What are your working hours?,Non-Booking
Where is your clinic located?,Non-Booking
What are your working hours?,Non-Booking
I'd like to reserve a slot for this evening.,Booking
Is there an appointment available on next Monday?,Booking
Book a consultation for Tuesday.,Booking
Thank you for your help.,Non-Booking
Is there an appointment available on Tuesday?,Booking
I would like to meet the dermatologist on Monday.,Booking
Thank you for your help.,Non-Booking
What are your working hours?,Non-Booking
I would like to meet the eye specialist on next week.,Booking
I want to book an appointment for Monday.,Booking
I have a question about your services.,Non-Booking
I would like to meet the neurologist on Monday.,Booking
Please send me the address.,Non-Booking
